"Computer date","Tree ID","Date","Maple Species","Latitude","Longitude","Concrete","Habitat","Shade","Tree Circumference_in","Damage","Other Comments","Leaf Color","Leaves Dropping","Fruit","C16-D"
"09/13/2013 - 9:26am",,"9/13/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"The center trunk of this tree was removed about two years ago because it had die","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","996720:00:00"
"09/19/2013 - 2:55pm",,"9/14/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"There are some missing limbs - appears that they were cut of (by the university?","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996744:00:00"
"10/06/2013 - 5:45pm",,"9/14/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996744:00:00"
"09/10/2013 - 1:33pm",,"9/16/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"No visible damages","Leaves have black/brown spots on them.","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996792:00:00"
"09/17/2013 - 12:38pm",,"9/17/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996816:00:00"
"09/17/2013 - 2:05pm",,"9/17/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"There are at least three places where limbs have broken off or been cut by human","Mystery tree growing on it.","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996816:00:00"
"09/18/2013 - 8:58pm",,"9/18/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Tree looks very healthy","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996840:00:00"
"09/19/2013 - 9:38pm",,"9/18/2013","",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"There doesn't appear to be any fungal growth or broken limbs. ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996840:00:00"
"09/19/2013 - 10:07pm",,"9/19/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"No obvious disease or damage","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996864:00:00"
"09/19/2013 - 11:06am",,"9/19/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"no apparent damage/disease","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996864:00:00"
"09/19/2013 - 11:36am",,"9/19/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None","low branch","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996864:00:00"
